Version,Title,MatchTitle,Difficulty,NormalType,NormalTier,HardType,HardTier,RankTier
22,Chrono Diver -PENDULUMs-,,ANOTHER,지력,S,지력,S+,7
22,cinder,,ANOTHER,지력,B,지력,B,
21,Close the World feat.a☆ru,,ANOTHER,지력,B,지력,B,2
21,Close the World feat.a☆ru,,LEGGENDARIA,지력,A,지력,A,
31,CODE:Ø,CODE:0,LEGGENDARIA,지력,A+,개인차,A+,
23,CODE:1 [revision1.0.1],,ANOTHER,지력,B,지력,B,
16,Colorful Cookie,,ANOTHER,지력,B,지력,B,2
6,Colors (radio edit),,ANOTHER,지력,E,지력,C,
33,CoMAAAAAAA,,LEGGENDARIA,개인차,A+,지력,A+,
13,Concertino in Blue,,ANOTHER,지력,E,지력,D,
20,Confiserie,,ANOTHER,지력,S,지력,S,6
25,CONTRACT,,LEGGENDARIA,지력,A+,지력,A+,
24,Cosmic Cat,,LEGGENDARIA,지력,C,지력,B,
28,COSMIC RAY,,ANOTHER,지력,A,지력,A,
32,COSMIC V3LOCITY,,ANOTHER,지력,C,지력,C,
32,Cross Fire,,ANOTHER,지력,A,지력,A,
32,CUE CUE RESCUE,,LEGGENDARIA,지력,F,지력,F,
31,Cult Invitation,,ANOTHER,개인차,A,개인차,A+,4
31,Dahlia,,ANOTHER,지력,D,지력,B,
18,Dances with Snow Fairies,,ANOTHER,지력,B+,지력,B,
30,Dances with Snow Fairies,,LEGGENDARIA,지력,S,지력,S,6
27,Dans la nuit de l'éternité,Dans la nuit de l'eternite,ANOTHER,지력,A+,지력,S,
21,DARK LEGACY,,ANOTHER,지력,C,지력,B,
26,dAuntl3ss,,ANOTHER,지력,C,지력,D,1
20,DAY DREAM,,ANOTHER,지력,C,개인차,A,5
25,DEADHEAT,,ANOTHER,지력,B+,지력,B+,3
25,DEATH†ZIGOQ ～怒りの高速爆走野郎～,,ANOTHER,지력,A,지력,A+,
31,DEATH†ZIGOQ ～怒りの高速爆走野郎～,,LEGGENDARIA,지력,S+,지력,S+,
31,Demon March,,ANOTHER,지력,A,지력,A,
22,Despair of ELFERIA,,ANOTHER,지력,A,지력,A,3
32,destination,,ANOTHER,지력,C,지력,C,
23,Devil's Gear,,ANOTHER,지력,A,지력,A,
20,Devilz Staircase,,ANOTHER,지력,B,지력,B+,3
23,DIAMOND CROSSING,,ANOTHER,개인차,B+,개인차,A+,
19,DIAVOLO,,ANOTHER,개인차,S+,개인차,S+,6
30,dica dica,,ANOTHER,개인차,D,개인차,C,
33,Digitized Ocean,,ANOTHER,,,,,
33,Disco Killer Music Lover,,ANOTHER,지력,D,지력,C,
32,DIVINE JUDGEMENT,,ANOTHER,지력,C,지력,C,
33,Do it!! Do it!!,,LEGGENDARIA,지력,S+,지력,S,
33,Dolphin Kick,,ANOTHER,,,,,
17,DOMINION,,ANOTHER,지력,C,지력,B,
29,Don't believe the hype,,ANOTHER,개인차,A,개인차,A+,
24,DORNWALD ～Junge～,,ANOTHER,지력,A,지력,A,3
27,Double Dribble,,ANOTHER,지력,D,지력,D,
26,Dr. Chemical & Killing Machine,,ANOTHER,지력,C,지력,C,
26,Drastic Dramatic,,ANOTHER,지력,D,지력,D,
32,Drop Syndicate,,ANOTHER,지력,B+,지력,B+,
25,DropZ-Line-,,ANOTHER,지력,B,지력,B+,
26,DRUNK MONKY,,ANOTHER,지력,D,지력,D,
28,DUAL STRIKER,,ANOTHER,지력,B,지력,B+,2
13,DUE TOMORROW,,ANOTHER,개인차,E,개인차,C,
33,Dusk Endir,,ANOTHER,지력,C,지력,C,
23,Dynamite,,ANOTHER,지력,A,개인차,A+,4
22,EBONY & IVORY,,ANOTHER,지력,C,지력,B,
24,EBONY & IVORY,,LEGGENDARIA,지력,A+,지력,S,
24,ECHIDNA,,ANOTHER,개인차,A+,개인차,S,
30,Elektrick U-Phoria,,LEGGENDARIA,지력,A,지력,A+,4
20,Elemental Creation,,ANOTHER,지력,S,지력,S,6
33,Ember Lights,,LEGGENDARIA,개인차,C,개인차,B,
25,EMERALDAS,,ANOTHER,지력,S,지력,S,6
28,Empire of Fury,,ANOTHER,지력,B+,지력,A,
25,encounter,,ANOTHER,지력,E,지력,E,
22,entelecheia,,ANOTHER,지력,B,지력,B,1
17,eRAseRmOToRpHAntOM,,ANOTHER,개인차,D,개인차,C,
27,EROICA,,ANOTHER,개인차,S,지력,S+,7
26,EVANESCENT,,ANOTHER,지력,D,지력,C,1
17,Evans,,ANOTHER,지력,C,지력,C,
27,Everlasting Message,,ANOTHER,지력,S,지력,S,
32,EX-MASSIVE FIGHTER,,ANOTHER,지력,C,지력,C,
17,EXUSIA,,ANOTHER,지력,A,지력,B+,3
32,EYE OF THE HEAVEN,,ANOTHER,지력,C,지력,C,
19,F,,ANOTHER,지력,E,지력,E,
11,FAKE TIME,,ANOTHER,개인차,B,개인차,C,2
22,fallen leaves -IIDX edition-,,ANOTHER,지력,B+,지력,A,3
22,FANTASTIC THREE,,ANOTHER,지력,C,개인차,B,
14,Fascination MAXX,,ANOTHER,개인차,D,개인차,S,7
21,Feel The Beat,,ANOTHER,지력,D,지력,C,
22,Feel The Beat,,LEGGENDARIA,지력,A,지력,S+,6
29,Fegrix,,ANOTHER,지력,D,지력,C,
19,fffff,,ANOTHER,지력,D,지력,C,
28,Fire Beat,,ANOTHER,개인차,D,개인차,D,
14,FIRE FIRE,,ANOTHER,지력,D,지력,D,
33,fixer,,ANOTHER,지력,S,개인차,S,
33,FiZZλ_PØT!OИ,FiZZλ_POT!0N,ANOTHER,지력,S,지력,S,
32,Flämingo,Flamingo,ANOTHER,지력,B+,지력,B+,
22,Flashes,,ANOTHER,개인차,B,지력,A,
33,Flashes,,LEGGENDARIA,지력,A+,지력,A+,
32,FlyAway,,ANOTHER,지력,C,지력,C,
29,Flying Castle,,ANOTHER,지력,B,지력,B,
30,four pieces of heaven,,LEGGENDARIA,지력,A,지력,A+,
31,frequent,,ANOTHER,지력,D,지력,D,1
27,Friction[!]Function,,ANOTHER,지력,C,지력,C,
33,From Human Blood,,ANOTHER,지력,C,지력,C,
24,FUZIN RIZIN,,ANOTHER,지력,C,지력,C,
17,G59,,ANOTHER,지력,A,지력,B+,3
20,GAIA,,ANOTHER,지력,D,지력,C,
31,GAME ON,,ANOTHER,개인차,C,개인차,B,
28,Ganymede,,LEGGENDARIA,지력,A,지력,A+,
32,garden,,LEGGENDARIA,개인차,D,지력,D,
26,GENE,,ANOTHER,지력,B,지력,B,
33,GENE,,LEGGENDARIA,지력,A,지력,A+,
31,Ghost Pulse,,ANOTHER,지력,C,지력,C,
11,gigadelic,,HYPER,지력,E,지력,F,
11,gigadelic,,ANOTHER,지력,E,지력,F,
29,GiGaGaHell,,ANOTHER,개인차,B+,개인차,A+,
33,Gimme a Big Beat(青龍 Remix),,ANOTHER,지력,E,지력,C,
30,glacia,,ANOTHER,지력,E,지력,E,
31,Glitch N Ride,,ANOTHER,지력,A+,개인차,A+,5
24,Go Ahead!!,,ANOTHER,지력,S,지력,S+,7
16,Go Beyond!!,,ANOTHER,지력,D,지력,S+,7
26,GO OVER WITH GLARE -ROOTAGE 26-,,ANOTHER,지력,S,지력,S,
32,God Mind,,ANOTHER,지력,A+,지력,A+,
23,Godspeed,,ANOTHER,지력,C,지력,B+,2
17,GOLDEN CROSS,,ANOTHER,지력,C,지력,C,
23,Grand Chariot,,ANOTHER,지력,B+,지력,B+,
22,Gravigazer,,ANOTHER,지력,C,지력,C,1
29,GRAVITON,,ANOTHER,지력,B+,지력,B+,
26,GRID KNIGHT,,LEGGENDARIA,개인차,E,지력,E,
31,GUILTY,,LEGGENDARIA,지력,B,지력,B+,
24,GuNGNiR,,ANOTHER,지력,A,지력,A+,6
27,GuNGNiR,,LEGGENDARIA,지력,S+,지력,S+,7
24,HADES,,ANOTHER,지력,A,지력,B+,
19,HAERETICUS,,ANOTHER,지력,A,지력,A,
26,HARD BRAIN,,ANOTHER,지력,B,지력,C,
29,hard-wired,,ANOTHER,지력,S,지력,S,6
30,Hat Surprise (Season 2),,ANOTHER,지력,E,지력,E,
33,HEROES,,ANOTHER,지력,A,개인차,A+,
32,Here We Go Now,,ANOTHER,지력,C,지력,C,
23,Highcharge Divolt,,ANOTHER,지력,D,지력,D,
20,Hollywood Galaxy,,ANOTHER,개인차,B+,지력,A,
32,hora de verdad,,ANOTHER,개인차,C,지력,B,
32,HYENA,,LEGGENDARIA,지력,A+,지력,A+,
33,HyperTwist,,ANOTHER,지력,D,지력,B,
30,I,,ANOTHER,지력,B,지력,B,
15,ICARUS,,ANOTHER,개인차,E,개인차,C,
24,ICARUS,,LEGGENDARIA,지력,S,지력,S+,
21,Idola,,ANOTHER,지력,C,지력,C,
28,Ignis†Iræ,Ignis†Irae,ANOTHER,지력,A+,지력,S,6
29,Illegal Function Call,,LEGGENDARIA,지력,S+,지력,S+,7
25,Illusionary Waterlily,,ANOTHER,지력,B,지력,B+,
22,IMPLANTATION,,ANOTHER,개인차,B,개인차,B,
32,INAZUMA,,LEGGENDARIA,개인차,A,지력,A,
27,Inferno of Fomalhaut,,ANOTHER,개인차,B+,개인차,A,
33,INHERITANCE,,LEGGENDARIA,지력,B,지력,B,
25,Initiation,,ANOTHER,지력,A+,지력,A+,
28,innocent revolver,,ANOTHER,지력,C,지력,B,
10,Innocent Walls,,HYPER,개인차,E,개인차,D,
10,Innocent Walls,,ANOTHER,개인차,E,개인차,D,
21,INSOMNIA,,ANOTHER,지력,B,지력,B+,
22,Invitation from Mr.C,,ANOTHER,지력,C,개인차,B,
21,invoker,,ANOTHER,지력,E,지력,E,
21,invoker,,LEGGENDARIA,개인차,A+,지력,A+,
33,Iridescent Memories,,ANOTHER,,,,,
20,JOMANDA,,ANOTHER,지력,B+,개인차,A,
31,JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,,ANOTHER,지력,E,지력,C,
21,KAISER PHOENIX,,ANOTHER,지력,A,지력,A+,
26,KAISER PHOENIX,,LEGGENDARIA,지력,S,지력,S+,7
24,KAMAITACHI,,LEGGENDARIA,지력,S+,지력,S+,
26,KILL EACH OTHER,,ANOTHER,지력,B,지력,B,
31,KING,,LEGGENDARIA,지력,E,지력,D,
33,King of Tribe,,ANOTHER,지력,E,지력,D,
23,Konzert V,,ANOTHER,지력,C,지력,B,
30,kors k's How to make OTOGE CORE 「LONG」,,ANOTHER,지력,B+,지력,A,
25,Kung-fu Empire,,LEGGENDARIA,지력,D,지력,C,
26,L.F.O,,ANOTHER,지력,C,지력,C,
14,LASER CRUSTER,,ANOTHER,지력,E,지력,D,
27,LASER CRUSTER (IGNITE REMIX),,ANOTHER,지력,B,지력,B+,
21,Last Dance,,ANOTHER,지력,C,지력,C,
26,Lethal Weapon,,ANOTHER,지력,C,지력,C,
27,Level 2,,ANOTHER,개인차,C,개인차,B+,
28,Level 3,,ANOTHER,개인차,A+,개인차,S,5
30,Level 4,,ANOTHER,개인차,A+,개인차,S,
31,Level 5,,ANOTHER,개인차,S,개인차,S+,
26,Level One,,ANOTHER,개인차,A,개인차,S,
20,Liberation,,ANOTHER,지력,E,지력,D,
25,Life Is A Game ft.DD”ナカタ”Metal,Life Is A Game ft.DD"ナカタ"Metal,ANOTHER,지력,A,지력,A,
27,LIGHTNING STRIKES,,ANOTHER,지력,E,지력,E,
32,LIGHTNING STRIKES,,LEGGENDARIA,지력,A+,지력,S,
32,Lightspeed,,ANOTHER,지력,B,지력,B+,
33,Limelight,,ANOTHER,,,,,
33,Lisa-RICCIA,,ANOTHER,지력,E,지력,E,
33,Lisa-RICCIA,,LEGGENDARIA,지력,S,지력,S+,
25,Little Little Princess,,LEGGENDARIA,지력,B,지력,B,
20,Little Star,,ANOTHER,지력,E,지력,E,
29,LIVE DRIVING!! feat. 花たん,,ANOTHER,지력,C,지력,C,
28,LOCUS OF THE TRAVEL,,ANOTHER,지력,A,지력,A+,
27,Lords Of The Roundtable,,ANOTHER,개인차,S,개인차,S,
31,Lost Souls,,LEGGENDARIA,지력,S,지력,S,6
26,LOST TECHNOLOGIE,,ANOTHER,지력,C,지력,B,
30,LOUDER ROLLING THUNDER,,ANOTHER,지력,A+,지력,A+,
23,M4K3 1T B0UNC3,,ANOTHER,지력,C,지력,C,
26,Mächö Mönky,Macho Monky,ANOTHER,지력,B+,지력,A,
31,MAD ATTACK,,LEGGENDARIA,개인차,C,개인차,B+,
33,Makin' It,,ANOTHER,개인차,S,개인차,S,
24,Mare Nectaris,,ANOTHER,지력,S+,지력,S+,
28,Marie Antoinette,,LEGGENDARIA,개인차,B+,개인차,B+,
32,MARLIN,,ANOTHER,지력,C,지력,B,
27,Matt Silver,,ANOTHER,지력,D,지력,D,
30,MAX 300,,ANOTHER,지력,B,개인차,B+,
30,MAX 360,,ANOTHER,지력,B,지력,B,
31,MAXIMUM CHEAT GIRL,,ANOTHER,지력,B,지력,B+,
28,MEGAERA,,ANOTHER,지력,S,지력,S,
27,Megalara Garuda,,ANOTHER,지력,D,지력,C,
33,Memoria Obscura,,ANOTHER,지력,A+,지력,A+,
15,MENDES,,ANOTHER,지력,A,지력,A,
30,Meissa,,ANOTHER,지력,D,지력,C,
32,Mid-Corner (Magic Maker),,ANOTHER,지력,C,지력,B,
33,Mighty Beat Monsterz,,ANOTHER,지력,C,지력,C,
31,Million Dollar,,ANOTHER,지력,C,지력,B,
31,Miracle 5ympho X,,LEGGENDARIA,개인차,A,개인차,S,
22,Monopole.,,ANOTHER,지력,B,지력,B+,
9,moon_child,,ANOTHER,지력,E,지력,E,
17,mosaic,,ANOTHER,개인차,D,개인차,E,
29,n/a,,ANOTHER,지력,S+,지력,S+,7
30,No Border,,ANOTHER,지력,D,지력,D,
32,Nothing but Theory,,LEGGENDARIA,지력,D,지력,D,
22,NEO GENERATOR SEVEN,,ANOTHER,지력,C,지력,B,
20,neu,,ANOTHER,지력,B+,지력,B,2
26,New Castle Legions,,ANOTHER,개인차,C,개인차,B,
29,NEW GENERATION -もう、お前しか見えない-,,LEGGENDARIA,지력,B+,지력,A,
23,Nightmare before oversleep,,ANOTHER,지력,C,지력,C,
23,NINJA IS DEAD IIDX ver.,,ANOTHER,지력,E,지력,E,
25,NITROUS CANNON,,ANOTHER,지력,B,지력,B+,
19,NNRT,,ANOTHER,지력,C,지력,C,
32,NOIXIA,,ANOTHER,지력,A,지력,A+,
23,NZM,,ANOTHER,지력,A+,개인차,A+,4
31,O/D*20,,LEGGENDARIA,지력,B+,지력,A,
33,OMEGA,,ANOTHER,지력,A,지력,A,
30,ONE AND ONLY,,ANOTHER,지력,D,지력,C,
29,One for All,,ANOTHER,지력,B,지력,B,2
10,One More Lovely,,ANOTHER,지력,B+,지력,C,
9,one or eight,,ANOTHER,개인차,E,개인차,D,1
26,ONIGOROSHI,,ANOTHER,개인차,C,개인차,B,
15,oratio,,ANOTHER,지력,D,지력,D,
27,ORCA,,ANOTHER,지력,B+,지력,B+,
24,OTENAMI Hurricane,,ANOTHER,지력,B,지력,B,
31,Out of Control,,ANOTHER,지력,D,지력,C,
29,Override,,LEGGENDARIA,지력,S,지력,S,
26,Painful Fate,,ANOTHER,지력,A,지력,A,
25,Papilio ulysses,,ANOTHER,개인차,B,개인차,B+,
18,PARADISE LOST,,ANOTHER,지력,A+,지력,A+,
15,PARANOiA ～HADES～,,ANOTHER,개인차,B,개인차,A,
28,Pārvatī,Parvati,ANOTHER,지력,D,지력,D,
30,Peaktime Booster,,ANOTHER,개인차,B+,개인차,A,
18,perditus†paradisus,,ANOTHER,지력,S,지력,S,
33,PERFECT GREAT!!,,ANOTHER,지력,A,지력,A,
25,Persephone,,ANOTHER,지력,D,지력,D,
29,Phoenix,,LEGGENDARIA,지력,S,지력,S,
32,Pinky Happy Crazy,,ANOTHER,개인차,A,지력,B+,
20,Plan 8,,ANOTHER,개인차,S+,개인차,S+,
29,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,,ANOTHER,지력,B+,지력,B+,2
33,Plazma,,LEGGENDARIA,지력,C,지력,C,
8,PLEASE DON'T GO,,ANOTHER,개인차,C,개인차,C,
33,POLꓘAMAИIA,POLKAMANIA,LEGGENDARIA,지력,A,지력,A+,
23,POSSESSION,,ANOTHER,지력,D,개인차,C,
27,Primitive Vibes,,ANOTHER,지력,F,지력,F,
20,Proof of the existence,,ANOTHER,지력,B,지력,B,2
21,PUNISHER,,ANOTHER,지력,D,지력,C,
29,Purple Perplex,,ANOTHER,개인차,A,개인차,A+,
29,Push on Beats!～音ゲの国のeX-ストリーマー～,,ANOTHER,지력,C,지력,B,
24,Quakes,,ANOTHER,지력,A+,지력,A+,
25,QUANTUM TELEPORTATION,,LEGGENDARIA,지력,B,지력,B,
19,quaver♪,,ANOTHER,지력,B,지력,B,
17,quell～the seventh slave～,,ANOTHER,지력,A,지력,A,
21,ra'am,,ANOTHER,지력,B,개인차,B+,
12,rage against usual,,ANOTHER,지력,C,개인차,A+,
29,RAGE feat.H14 of LEONAIR,,ANOTHER,개인차,S+,개인차,S+,7
33,RALLY '25,,ANOTHER,지력,D,지력,D,
24,RAIN,,ANOTHER,지력,C,지력,D,
25,Rampage,,ANOTHER,지력,D,지력,D,
25,Raspberry Railgun,,ANOTHER,지력,E,지력,E,
24,Rave Cannon,,ANOTHER,지력,D,지력,D,
22,Rave*it!! Rave*it!!,,ANOTHER,개인차,C,개인차,A+,
27,Rave Patroller,,ANOTHER,지력,C,지력,D,1
25,RED ZONE,,LEGGENDARIA,지력,E,지력,E,
17,Red. by Full Metal Jacket,,ANOTHER,개인차,B,개인차,A,
26,Red. by Jack Trance,,ANOTHER,개인차,A+,개인차,S,6
22,Reflux,,ANOTHER,개인차,A+,개인차,A+,
23,refrain,,ANOTHER,지력,B,지력,B,
33,Regina vespaE,,ANOTHER,지력,B,개인차,B+,
31,Resonant,,ANOTHER,지력,B+,지력,A,
18,reunion,,ANOTHER,지력,B,지력,A,
29,REVOLVER,,LEGGENDARIA,지력,A+,개인차,S,5
30,RINИE,RINNE,ANOTHER,지력,C,지력,C,
33,Rise'n Beauty,,LEGGENDARIA,지력,B+,지력,B+,
15,Ristaccia,,ANOTHER,지력,F,지력,F,
33,RIZING-GAMERS.,,ANOTHER,지력,D,지력,B,
32,Roar of Chronos,,ANOTHER,지력,C,지력,C,
28,rommmo,,ANOTHER,지력,C,지력,B,
26,ruin of opals,,ANOTHER,지력,B,지력,B,
33,RUINA,,ANOTHER,개인차,A+,개인차,S,
18,sakura storm,,ANOTHER,개인차,F,개인차,E,
28,SAMURAI-Scramble,,LEGGENDARIA,개인차,S+,개인차,S+,
32,Satellite Burst,,ANOTHER,지력,A+,지력,A+,
31,Saturn,,LEGGENDARIA,지력,A+,지력,S,
24,SAY BAY,,ANOTHER,지력,C,지력,B,
22,Say YEEEAHH,,ANOTHER,지력,D,지력,C,
12,SCREAM SQUAD,,ANOTHER,개인차,E,개인차,E,
27,SCREW // owo // SCREW,,ANOTHER,개인차,A+,개인차,A+,
12,Scripted Connection⇒ A mix,,ANOTHER,지력,D,개인차,C,
29,Scripted Connection⇒ A mix,,LEGGENDARIA,개인차,A,지력,A,3
32,Scripted Connection⇒ H mix,,LEGGENDARIA,지력,D,지력,D,
27,Secrets,,LEGGENDARIA,지력,A,지력,A+,4
14,Sense 2007,,ANOTHER,개인차,C,개인차,B,
18,Session 9 -Chronicles-,,ANOTHER,지력,B,지력,B+,
31,Seven Times Four,,ANOTHER,지력,C,지력,C,
22,Shooting Fireball,,ANOTHER,지력,B+,지력,B+,
21,Sigmund,,ANOTHER,지력,S,지력,S,
21,Sigmund,,LEGGENDARIA,지력,S+,지력,S+,7
29,Silver Bullet,,ANOTHER,지력,D,지력,C,1
28,Sinus Iridum,,ANOTHER,지력,S,지력,S+,
31,Sirius,,ANOTHER,지력,E,지력,E,
32,SISYPHUS,,ANOTHER,개인차,D,개인차,C,
32,Skratch Education Lv-1,,ANOTHER,개인차,S+,개인차,S+,
24,Sky High,,ANOTHER,지력,B,지력,B+,2
25,Slipstream,,ANOTHER,지력,B,지력,B+,
29,Smalt #28598F,,ANOTHER,지력,B,지력,C,2
27,Smashing Wedge,,ANOTHER,지력,A+,지력,A+,
33,Smintheus,,ANOTHER,,,,,
19,Snake Stick,,ANOTHER,개인차,B+,개인차,A+,
24,Snakey Kung-fu,,ANOTHER,지력,B+,개인차,B+,
27,snow storm,,LEGGENDARIA,지력,F,지력,F,
20,Sol Cosine Job 2,,ANOTHER,지력,C,지력,C,
31,SOLAR ECLIPSE,,ANOTHER,지력,A+,개인차,S,6
17,SOLID STATE SQUAD,,ANOTHER,지력,D,지력,D,1
24,SOLID STATE SQUAD,,LEGGENDARIA,지력,A,지력,A,
28,SOLID STATE SQUAD -RISEN RELIC REMIX-,,ANOTHER,지력,C,지력,C,
31,SOLID WYVERN,,LEGGENDARIA,지력,A+,지력,A+,4
30,Somnidiscotheque,,ANOTHER,지력,S+,지력,S+,
22,Sounds Of Summer,,ANOTHER,지력,C,지력,C,1
33,Space Battleship S4TØ,Space Battleship S4TO,ANOTHER,지력,C,지력,C,
22,SpaceLand☆TOYBOX,,ANOTHER,지력,D,지력,D,
18,SPECIAL SUMMER CAMPAIGN!,,ANOTHER,지력,F,지력,F,
25,spiral galaxy,,LEGGENDARIA,지력,C,지력,D,1
24,STARLIGHT DANCEHALL,,LEGGENDARIA,지력,B+,지력,B+,
24,Steel Edge,,ANOTHER,개인차,E,지력,E,
28,STEEL NEEDLE,,LEGGENDARIA,개인차,A,지력,S,5
31,Stereo Beasts,,ANOTHER,지력,D,지력,D,
23,StrayedCatz,,ANOTHER,지력,B+,지력,B+,
20,STULTI,,ANOTHER,개인차,B+,지력,A,
33,Submerge Serenade,,LEGGENDARIA,지력,B+,지력,A,
32,SμG@R RU$#,,ANOTHER,지력,S+,지력,S+,
24,Summerlights(IIDX Edition),,ANOTHER,지력,E,지력,D,
33,super double play sessions,,ANOTHER,,,,,
33,Super Duper Racers,,LEGGENDARIA,지력,B,지력,B,
30,Super Freak,,ANOTHER,지력,C,지력,C,
24,Super Rush,,ANOTHER,지력,B,지력,B,
30,suspicions,,ANOTHER,지력,A,지력,A,4
31,Sword of Vengeance,,ANOTHER,지력,C,지력,C,
22,Symmetry,,ANOTHER,지력,E,지력,E,
20,SYNC-ANTHEM,,ANOTHER,지력,B+,지력,B,
27,T-REX vs Velociraptor (In the Far east euphoria),,ANOTHER,지력,B,지력,B,
27,TECHNO Style Essentials,,ANOTHER,지력,C,지력,C,
30,TECHNOPHOBIA,,ANOTHER,개인차,A,개인차,A+,5
24,THANK YOU FOR PLAYING,,LEGGENDARIA,지력,C,지력,B,
33,THE BLACK KNIGHT,,LEGGENDARIA,지력,S+,지력,S+,
27,THE BRAVE MUST DIE,,ANOTHER,지력,A,지력,A,
25,The Chase,,ANOTHER,개인차,A+,개인차,S,
30,The Clown of 24stairs,,ANOTHER,지력,A+,지력,A+,
